0,1,2,3,4,5,6,7,8,9,10,11
0,1,2,3,4,5,6,7,8,9,10,11
0,1,0,0,0,1,0,1,0,1, a,E
0,1,1,0,0,0,0,1,0,0,Er,a
0,1,1,1,0,0,1,0,0,0,at,r
0,1,1,1,0,1,0,0,0,0,rh,t
0,1,1,0,1,0,0,0,0,1,t ,h
0,0,1,0,0,0,0,0,0,0,hi, 
0,1,1,0,1,0,0,1,0,1, s,i
0,1,1,1,0,0,1,1,0,1,i ,s
0,0,1,0,0,0,0,0,0,0,st, 
0,1,1,1,0,1,0,0,0,1, h,t
0,1,1,0,1,0,0,0,0,0,te,h
0,1,1,0,0,1,0,1,0,1,h ,e
0,0,1,0,0,0,0,0,0,0,et, 
0,1,1,1,0,1,0,0,0,1, h,t
0,1,1,0,1,0,0,0,0,0,ti,h
0,1,1,0,1,0,0,1,0,0,hr,i
0,1,1,1,0,0,1,0,0,0,id,r
0,1,1,0,0,1,0,0,0,1,r ,d
0,0,1,0,0,0,0,0,0,0,dp, 
0,1,1,1,0,0,0,0,0,1, l,p
0,1,1,0,1,1,0,0,0,0,pa,l
0,1,1,0,0,0,0,1,0,0,ln,a
0,1,1,0,1,1,1,0,0,0,ad,n
0,1,1,0,0,1,0,0,0,0,nt,d
0,1,1,1,0,1,0,0,0,1,d ,t
0,0,1,0,0,0,0,0,0,0,tf, 
0,1,1,0,0,1,1,0,0,1, r,f
0,1,1,1,0,0,1,0,0,0,fo,r
0,1,1,0,1,1,1,1,0,0,rm,o
0,1,1,0,1,1,0,1,0,1,o ,m
0,0,1,0,0,0,0,0,0,0,mt, 
0,1,1,1,0,1,0,0,0,1, h,t
0,1,1,0,1,0,0,0,0,0,te,h
0,1,1,0,0,1,0,1,0,1,h ,e
0,0,1,0,0,0,0,0,0,0,eS, 
0,1,0,1,0,0,1,1,0,1, u,S
0,1,1,1,0,1,0,1,0,0,Sn,u
0,1,1,0,1,1,1,0,0,1,u ,n
0,0,1,0,0,0,0,0,0,0,na, 
0,1,1,0,0,0,0,1,0,1, n,a
0,1,1,0,1,1,1,0,0,0,ad,n
0,1,1,0,0,1,0,0,0,1,n ,d
0,0,1,0,0,0,0,0,0,0,dt, 
0,1,1,1,0,1,0,0,0,1, h,t
0,1,1,0,1,0,0,0,0,0,te,h
0,1,1,0,0,1,0,1,0,1,h ,e
0,0,1,0,0,0,0,0,0,0,eo, 
0,1,1,0,1,1,1,1,0,1, -,o
0,1,1,1,1,1,1,0,0,0,ol,~
0,1,1,0,1,1,0,0,0,0,-y,l
0,1,1,1,1,0,0,1,0,1,l ,y
0,0,1,0,0,0,0,0,0,0,yk, 
0,1,1,0,1,0,1,1,0,1, n,k
0,1,1,0,1,1,1,0,0,0,ko,n
0,1,1,0,1,1,1,1,0,0,nw,o
0,1,1,1,0,1,1,1,0,0,on,w
0,1,1,0,1,1,1,0,0,1,w ,n
0,0,1,0,0,0,0,0,0,0,np, 
0,1,1,1,0,0,0,0,0,1, l,p
0,1,1,0,1,1,0,0,0,0,pa,l
