0,1,2,3,4,5,6,7,8,9,10,11
0,1,2,3,4,5,6,7,8,9,10,11
0,0,0,0,1,0,0,1,0,1,- ,I
1,0,0,1,0,1,1,1,0,0,ws,a
0,0,1,0,1,0,0,1,0,0,ws,a
1,0,0,1,0,1,1,1,0,0,hu,o
0,0,1,0,0,0,1,1,0,1,", ",""""
0,0,1,0,0,1,0,0,0,0,"""o", 
1,0,0,1,0,1,1,1,0,0,sc,u
0,0,1,1,1,1,1,0,0,0,g-,.
0,0,1,0,1,1,1,1,0,0,Yu,o
1,0,0,1,0,1,1,1,0,0,wu,o
0,1,1,1,1,1,1,0,0,0,we,n
1,0,0,1,0,1,1,1,0,0,ps,'
0,0,1,0,1,0,0,1,0,0,ln,i
0,1,1,1,1,0,1,1,0,1, o,y
0,1,1,0,0,0,0,0,0,0,"O,",h
1,0,0,1,0,1,1,1,0,1, a,c
1,0,0,1,0,1,1,1,0,0,le,i
0,1,1,1,1,0,1,1,1,0,1t,s
0,1,1,0,0,0,0,0,0,0,tc, 
0,0,1,0,1,0,0,0,0,0,yw, 
0,1,1,1,1,1,0,0,0,0,nu,t
1,0,0,1,0,1,1,1,0,1, u,j
0,1,1,1,1,1,0,0,0,1, h,t
0,0,0,1,0,0,0,0,1,0,2t,0
0,0,1,0,0,0,1,1,0,1, e,c
1,0,0,1,0,1,1,1,0,0,tr,u
0,1,1,1,1,1,1,1,0,1, a,w
0,1,1,1,1,0,1,1,0,1,r ,y
1,0,0,1,0,1,1,1,0,0,I.,T
0,0,0,0,0,0,0,0,0,0,ec, 
0,1,1,1,1,1,1,1,0,1,t ,o
0,0,1,0,1,0,0,0,0,0,oh, 
1,0,0,1,0,1,1,1,0,0,as,l
0,0,1,0,1,1,1,1,0,1, n,o
1,0,0,1,0,1,1,1,0,0,ef, 
1,0,0,1,0,1,1,1,0,0,fu,o
0,0,1,0,0,1,0,1,0,0,in,e
1,0,0,1,0,1,1,1,0,0,al,l
0,1,1,1,1,1,0,0,0,0,ly,l
1,0,0,1,0,1,1,1,0,0,Er,a
1,0,0,1,0,1,1,1,0,0,"b,",s
1,0,0,1,0,1,1,1,0,0,"b,",s
0,0,1,0,0,1,0,1,0,0,na,e
1,0,0,1,0,1,1,1,0,1,a ,r
1,0,0,1,0,1,1,1,0,0,Aa,s
0,0,1,0,0,1,1,0,0,1, i,f
1,0,0,1,0,1,1,1,0,0,ie,v
1,0,0,1,0,1,1,1,0,1, n,o
0,0,0,0,0,0,0,0,0,0,eo, 
0,1,1,0,0,0,0,0,0,0,te,h
1,0,0,1,0,1,1,1,0,0,f-,.
0,1,1,1,1,0,1,1,0,1,a ,s
1,0,0,1,0,1,1,1,0,0,sv, 
0,1,1,0,0,0,0,0,0,1,n ,d
0,0,1,0,1,0,0,1,0,0,wc,i
1,0,0,1,0,1,1,1,0,0,fr,i
0,0,1,0,0,1,0,0,0,1,n ,d
0,0,1,0,1,0,0,1,0,1, -,9
0,1,1,1,1,1,0,1,0,0,ie,m
0,1,1,0,0,0,0,0,0,0,",n", 
0,1,1,0,0,0,0,0,0,0,el,a
0,0,1,0,0,1,0,0,0,0,ie,d
0,0,0,0,0,0,0,0,0,0,dr, 
0,1,1,0,0,0,0,0,0,0,ti, 
1,0,0,1,0,1,1,1,0,0,nt, 
1,0,0,1,0,1,1,1,0,1,e ,e
0,1,1,1,1,1,0,0,0,0,nh,t
0,1,1,0,0,0,0,0,1,0,f2, 
0,0,0,1,0,0,0,1,1,1, 0,1
0,1,1,1,1,1,0,0,0,1, h,t
0,1,1,0,0,0,0,0,0,0,te,h
1,0,0,1,0,1,1,1,0,0,pa,l
0,0,1,0,1,0,0,0,0,0,ma, 
0,1,1,1,1,1,1,0,0,0,ad,n
0,0,1,0,0,1,0,0,0,0,rs, 
1,0,0,1,0,1,1,1,0,0,sm,o
0,0,1,0,0,1,0,0,0,0,eo, 
0,0,1,0,0,1,0,0,0,0,yw, 
1,0,0,1,0,1,1,1,0,1, o,n
1,0,0,1,0,1,1,1,0,0,om,r
1,0,0,1,0,1,1,1,0,0,ra,m
1,0,0,1,0,1,1,1,0,0,er,i
0,1,1,0,0,0,0,0,0,0,hs,a
1,0,0,1,0,1,1,1,0,1, o,p
0,0,1,0,1,0,0,0,0,0,rn, 
1,0,0,1,0,1,1,1,0,1, o,h
1,0,0,1,0,1,1,1,0,0,hm,o
1,0,0,1,0,1,1,1,0,0,",C", 
0,0,0,0,0,1,0,0,0,0,-e,L
0,0,1,0,0,1,0,0,0,0,ra, 
1,0,0,1,0,1,1,1,0,1,e ,s
1,0,0,1,0,1,1,1,0,1,e ,s
1,0,0,1,0,1,1,1,0,0,sr, 
0,1,1,1,1,1,1,0,0,1, o,n
1,0,0,1,0,1,1,1,0,0,de,r
0,0,0,1,0,0,0,1,1,1, 4,1
1,0,0,1,0,1,1,1,0,0,ft,i
1,0,0,1,0,1,1,1,0,1, o,c
0,0,1,0,1,0,0,0,0,0,lo, 
0,0,1,0,1,1,1,1,0,1, f,o
0,0,1,0,0,1,0,0,0,0,fe, 
1,0,0,1,0,1,1,1,0,0,sf, 
0,1,1,1,1,1,1,1,0,0,fr,o
0,1,1,0,0,0,0,0,0,0,rt, 
0,0,0,0,0,0,0,0,0,0,yg, 
1,0,0,1,0,1,1,1,0,0,ts, 
0,0,1,0,0,1,0,0,0,0,tt, 
0,0,1,0,1,0,0,1,0,0,ns,i
0,1,1,0,0,0,0,0,0,1,e ,d
0,1,1,1,1,1,0,0,0,1,u ,t
0,1,1,1,1,1,0,1,0,0,at,u
1,0,0,1,0,1,1,1,0,0,os,u
0,0,1,0,0,1,0,1,0,1,c ,e
0,0,0,0,0,0,0,0,0,0,ec, 
0,0,1,0,1,0,0,0,0,0,ec, 
0,0,1,0,1,0,0,0,0,0,fp, 
1,0,0,1,0,1,1,1,0,1,e ,","
1,0,0,1,0,1,1,1,0,0,rv,i
0,1,1,0,0,0,0,0,0,0,st, 
0,0,1,0,0,1,0,0,0,0,yi, 
0,0,1,0,1,1,1,1,0,1, n,o
0,0,1,0,1,0,0,1,0,0,rg,i
1,0,0,1,0,1,1,1,1,0,1.,1
0,0,1,0,0,1,0,0,0,1,n ,d
0,0,1,0,1,1,1,1,0,0,e-,.
1,0,0,1,0,1,1,1,0,1, o,f
1,0,0,1,0,1,1,1,0,0,nm,u
0,1,1,0,0,0,0,0,0,0,ws,a
1,0,0,1,0,1,1,1,0,1, h,t
0,0,1,0,1,0,0,0,0,0,te,h
1,0,0,1,0,1,1,1,0,1, t,s
0,1,1,1,1,1,0,0,0,1,a ,t
1,0,0,1,0,1,1,1,0,1, i,t
0,1,1,1,1,1,0,0,0,1,a ,l
1,0,0,1,0,1,1,1,0,0,oW, 
1,0,0,1,0,1,1,1,0,0,tv,i
1,0,0,1,0,1,1,1,0,0,ie,v
0,0,1,0,1,0,0,1,0,0,fe,i
0,0,1,0,1,0,1,1,0,0,ie,k
0,1,1,1,1,1,0,0,0,0,ey,l
0,1,1,0,0,0,0,0,0,0,yt, 
0,1,1,1,1,1,1,0,0,1,i ,n
1,0,0,1,0,1,1,1,0,0,nt,s
1,0,0,1,0,1,1,1,0,0,rc,e
1,0,0,1,0,1,1,1,0,0,t-,i
1,0,0,1,0,1,1,1,0,0,di, 
0,0,1,0,1,0,0,1,0,0,im,-
1,0,0,1,0,1,1,1,0,0,ce,h
0,1,1,0,0,0,0,0,0,0,rW, 
1,0,0,1,0,1,1,1,0,0,ad,i
0,1,1,0,0,0,0,0,0,1, e,h
1,0,0,1,0,1,1,1,0,1, a,p
1,0,0,1,0,1,1,1,0,1,e ,s
0,0,1,0,0,1,0,0,0,0,ra, 
1,0,0,1,0,1,1,1,0,1,a ,t
0,1,1,0,0,0,0,0,0,0,es, 
1,0,0,1,0,1,1,1,0,0,il,l
1,0,0,1,0,1,1,1,0,1, n,i
0,1,1,0,0,0,0,0,0,0,df, 
1,0,0,1,0,1,1,1,0,0,rm,o
0,0,0,0,1,1,1,0,0,0,am,.
0,0,0,0,0,0,0,0,0,0,ln, 
0,0,0,0,0,0,0,0,0,0,",a", 
1,0,0,1,0,1,1,1,0,0,sa,t
0,0,1,0,1,1,1,1,0,1,m ,.
0,0,0,0,0,0,0,0,0,0,em, 
0,0,1,0,1,0,0,0,0,0,ec, 
0,0,1,0,0,0,1,1,0,1, a,c
0,0,1,0,1,0,0,0,0,0,no, 
0,0,1,0,1,0,0,0,0,0,sa, 
0,1,1,0,0,0,0,0,0,0,vi,a
1,0,0,1,0,1,1,1,0,0,al,i
0,1,1,1,1,1,1,1,0,0,Ru,o
0,0,1,0,0,1,0,0,0,0,es, 
0,0,1,0,1,0,0,0,0,1,s ,","
1,0,0,1,0,1,1,1,0,1,h ,e
1,0,0,1,0,1,1,1,0,0,ek, 
0,0,1,0,1,0,0,0,0,0,at, 
0,1,1,1,1,1,0,1,0,0,ol,u
1,0,0,1,0,1,1,1,0,0,hH, 
0,1,1,0,0,0,0,0,0,0,aa,d
0,0,0,0,0,0,0,0,0,0,ga, 
0,0,1,0,1,0,0,0,0,0,dt, 
1,0,0,1,0,1,1,1,0,0,te,h
0,1,1,0,0,0,0,0,0,0,so,p
0,1,1,1,1,0,1,1,0,1,i ,s
1,0,0,1,0,1,1,1,0,0,"""s", 
1,0,0,1,0,1,1,1,0,0,si,a
1,0,0,1,0,1,1,1,0,1,a ,l
0,0,1,0,0,1,0,0,0,1,n ,d
0,1,1,0,0,0,0,0,0,0,dt, 
0,1,1,0,0,0,0,0,0,0,te,h
1,0,0,1,0,1,1,1,0,0,dN, 
0,0,1,0,1,0,1,0,0,1,o ,.
0,0,0,0,0,0,0,0,0,0,ln, 
0,0,0,0,0,0,0,0,0,0,ep, 
0,0,1,1,1,0,1,1,1,1, 2,3
0,1,1,0,0,0,0,0,0,1,e ,d
0,1,1,0,0,0,0,0,0,0,rd,a
0,0,0,1,0,0,0,1,1,1, 9,1
0,0,1,0,0,1,0,0,1,0,"8,",4
0,1,1,0,0,0,0,0,0,0,",h", 
0,0,1,0,0,1,0,0,0,0,sn, 
0,0,1,0,1,0,0,0,0,0,-o, 
